Name,Gender,Count,Year
Amelia,F,221,1880
Amelia,F,235,1881
Amelia,F,252,1882
Amelia,F,262,1883
Amelia,F,315,1884
Amelia,F,298,1885
Amelia,F,326,1886
Amelia,F,344,1887
Amelia,F,358,1888
Amelia,F,346,1889
Amelia,F,368,1890
Amelia,F,353,1891
Amelia,F,385,1892
Amelia,F,385,1893
Amelia,F,390,1894
Amelia,F,379,1895
Amelia,F,365,1896
Amelia,F,408,1897
Amelia,F,360,1898
Amelia,F,332,1899
Amelia,F,398,1900
Amelia,F,350,1901
Amelia,F,355,1902
Amelia,F,347,1903
Amelia,F,353,1904
Amelia,F,365,1905
Amelia,F,358,1906
Amelia,F,380,1907
Amelia,F,370,1908
Amelia,F,388,1909
Amelia,F,449,1910
Amelia,F,430,1911
Amelia,F,672,1912
Amelia,F,721,1913
Amelia,F,926,1914
Amelia,F,1115,1915
Amelia,F,1159,1916
Amelia,F,1160,1917
Amelia,F,1115,1918
Amelia,F,1085,1919
Amelia,F,1054,1920
Amelia,F,995,1921
Amelia,F,1032,1922
Amelia,F,965,1923
Amelia,F,910,1924
Amelia,F,889,1925
Amelia,F,746,1926
Amelia,F,754,1927
Amelia,F,755,1928
Amelia,F,687,1929
Amelia,F,679,1930
Amelia,F,591,1931
Amelia,F,637,1932
Amelia,F,608,1933
Amelia,F,553,1934
Amelia,F,604,1935
Amelia,F,580,1936
Amelia,F,647,1937
Amelia,F,570,1938
Amelia,F,489,1939
Amelia,F,504,1940
Amelia,F,529,1941
Amelia,F,543,1942
Amelia,F,560,1943
Amelia,F,476,1944
Amelia,F,474,1945
Amelia,F,547,1946
Amelia,F,538,1947
Amelia,F,564,1948
Amelia,F,589,1949
Amelia,F,483,1950
Amelia,F,532,1951
Amelia,F,550,1952
Amelia,F,551,1953
Amelia,F,511,1954
Amelia,F,530,1955
Amelia,F,526,1956
Amelia,F,520,1957
Amelia,F,484,1958
Amelia,F,502,1959
Amelia,F,543,1960
Amelia,F,571,1961
Amelia,F,493,1962
Amelia,F,503,1963
Amelia,F,503,1964
Amelia,F,476,1965
Amelia,F,431,1966
Amelia,F,450,1967
Amelia,F,390,1968
Amelia,F,465,1969
Amelia,F,493,1970
Amelia,F,481,1971
Amelia,F,406,1972
Amelia,F,442,1973
Amelia,F,507,1974
Amelia,F,524,1975
Amelia,F,523,1976
Amelia,F,601,1977
Amelia,F,643,1978
Amelia,F,702,1979
Amelia,F,768,1980
Amelia,F,849,1981
Amelia,F,832,1982
Amelia,F,762,1983
Amelia,F,1094,1984
Amelia,F,1014,1985
Amelia,F,1018,1986
Amelia,F,1006,1987
Amelia,F,1129,1988
Amelia,F,1265,1989
Amelia,F,1513,1990
Amelia,F,1536,1991
Amelia,F,1345,1992
Amelia,F,1248,1993
Amelia,F,1254,1994
Amelia,F,1207,1995
Amelia,F,1291,1996
Amelia,F,1317,1997
Amelia,F,1424,1998
Amelia,F,1421,1999
Amelia,F,1531,2000
Amelia,F,1635,2001
Amelia,F,2444,2002
Amelia,F,3096,2003
Amelia,F,3352,2004
Amelia,F,3909,2005
Amelia,F,4065,2006
Amelia,F,4194,2007
Amelia,F,4351,2008
Amelia,F,4702,2009
Amelia,F,5464,2010
Amelia,F,6372,2011
Amelia,F,7246,2012
Amelia,F,8044,2013
Amelia,F,8803,2014
Amelia,F,9870,2015
Amelia,F,10799,2016
Amelia,F,11858,2017
Amelia,F,12385,2018
Amelia,F,12932,2019
Amelia,F,12780,2020
Amelia,F,13007,2021
Amelia,F,12333,2022
