Name,Gender,Count,Year
Charlotte,F,237,1880
Charlotte,F,227,1881
Charlotte,F,257,1882
Charlotte,F,291,1883
Charlotte,F,344,1884
Charlotte,F,317,1885
Charlotte,F,368,1886
Charlotte,F,351,1887
Charlotte,F,464,1888
Charlotte,F,455,1889
Charlotte,F,417,1890
Charlotte,F,387,1891
Charlotte,F,486,1892
Charlotte,F,476,1893
Charlotte,F,484,1894
Charlotte,F,472,1895
Charlotte,F,492,1896
Charlotte,F,492,1897
Charlotte,F,569,1898
Charlotte,F,496,1899
Charlotte,F,602,1900
Charlotte,F,503,1901
Charlotte,F,524,1902
Charlotte,F,504,1903
Charlotte,F,554,1904
Charlotte,F,614,1905
Charlotte,F,619,1906
Charlotte,F,667,1907
Charlotte,F,766,1908
Charlotte,F,841,1909
Charlotte,F,896,1910
Charlotte,F,960,1911
Charlotte,F,1375,1912
Charlotte,F,1603,1913
Charlotte,F,2007,1914
Charlotte,F,2757,1915
Charlotte,F,2995,1916
Charlotte,F,3229,1917
Charlotte,F,3373,1918
Charlotte,F,3353,1919
Charlotte,F,3624,1920
Charlotte,F,3587,1921
Charlotte,F,3582,1922
Charlotte,F,3596,1923
Charlotte,F,3612,1924
Charlotte,F,3551,1925
Charlotte,F,3512,1926
Charlotte,F,3676,1927
Charlotte,F,3475,1928
Charlotte,F,3537,1929
Charlotte,F,3406,1930
Charlotte,F,3403,1931
Charlotte,F,3363,1932
Charlotte,F,3114,1933
Charlotte,F,3434,1934
Charlotte,F,3470,1935
Charlotte,F,3555,1936
Charlotte,F,3537,1937
Charlotte,F,3625,1938
Charlotte,F,3739,1939
Charlotte,F,4290,1940
Charlotte,F,4564,1941
Charlotte,F,5022,1942
Charlotte,F,5482,1943
Charlotte,F,4928,1944
Charlotte,F,4529,1945
Charlotte,F,4970,1946
Charlotte,F,5386,1947
Charlotte,F,5164,1948
Charlotte,F,5143,1949
Charlotte,F,4735,1950
Charlotte,F,4649,1951
Charlotte,F,4204,1952
Charlotte,F,3814,1953
Charlotte,F,3760,1954
Charlotte,F,3328,1955
Charlotte,F,3273,1956
Charlotte,F,3251,1957
Charlotte,F,3014,1958
Charlotte,F,2970,1959
Charlotte,F,2779,1960
Charlotte,F,2935,1961
Charlotte,F,2681,1962
Charlotte,F,2594,1963
Charlotte,F,2422,1964
Charlotte,F,2472,1965
Charlotte,F,2301,1966
Charlotte,F,2021,1967
Charlotte,F,2003,1968
Charlotte,F,2026,1969
Charlotte,F,1991,1970
Charlotte,F,1746,1971
Charlotte,F,1535,1972
Charlotte,F,1330,1973
Charlotte,F,1251,1974
Charlotte,F,1080,1975
Charlotte,F,957,1976
Charlotte,F,940,1977
Charlotte,F,829,1978
Charlotte,F,853,1979
Charlotte,F,849,1980
Charlotte,F,833,1981
Charlotte,F,794,1982
Charlotte,F,834,1983
Charlotte,F,789,1984
Charlotte,F,945,1985
Charlotte,F,860,1986
Charlotte,F,826,1987
Charlotte,F,862,1988
Charlotte,F,893,1989
Charlotte,F,964,1990
Charlotte,F,983,1991
Charlotte,F,963,1992
Charlotte,F,943,1993
Charlotte,F,942,1994
Charlotte,F,999,1995
Charlotte,F,946,1996
Charlotte,F,954,1997
Charlotte,F,997,1998
Charlotte,F,1002,1999
Charlotte,F,1104,2000
Charlotte,F,1379,2001
Charlotte,F,1604,2002
Charlotte,F,1763,2003
Charlotte,F,1994,2004
Charlotte,F,2445,2005
Charlotte,F,2780,2006
Charlotte,F,3329,2007
Charlotte,F,3670,2008
Charlotte,F,4191,2009
Charlotte,F,5357,2010
Charlotte,F,6430,2011
Charlotte,F,7479,2012
Charlotte,F,9308,2013
Charlotte,F,10119,2014
Charlotte,F,11408,2015
Charlotte,F,13109,2016
Charlotte,F,12959,2017
Charlotte,F,13024,2018
Charlotte,F,13216,2019
Charlotte,F,13083,2020
Charlotte,F,13336,2021
Charlotte,F,12891,2022
