Name,Gender,Count,Year
Elijah,M,100,1880
Elijah,M,69,1881
Elijah,M,111,1882
Elijah,M,92,1883
Elijah,M,85,1884
Elijah,M,82,1885
Elijah,M,93,1886
Elijah,M,75,1887
Elijah,M,88,1888
Elijah,M,61,1889
Elijah,M,64,1890
Elijah,M,57,1891
Elijah,M,85,1892
Elijah,M,77,1893
Elijah,M,54,1894
Elijah,M,75,1895
Elijah,M,87,1896
Elijah,M,65,1897
Elijah,M,76,1898
Elijah,M,64,1899
Elijah,M,86,1900
Elijah,M,79,1901
Elijah,M,66,1902
Elijah,M,58,1903
Elijah,M,60,1904
Elijah,M,81,1905
Elijah,M,65,1906
Elijah,M,76,1907
Elijah,M,64,1908
Elijah,M,90,1909
Elijah,M,101,1910
Elijah,M,94,1911
Elijah,M,142,1912
Elijah,M,149,1913
Elijah,M,187,1914
Elijah,M,243,1915
Elijah,M,232,1916
Elijah,M,256,1917
Elijah,M,264,1918
Elijah,M,295,1919
Elijah,M,277,1920
Elijah,M,257,1921
Elijah,M,311,1922
Elijah,M,302,1923
Elijah,M,261,1924
Elijah,M,283,1925
Elijah,M,276,1926
Elijah,M,290,1927
Elijah,M,255,1928
Elijah,M,243,1929
Elijah,M,226,1930
Elijah,M,198,1931
Elijah,M,231,1932
Elijah,M,198,1933
Elijah,M,209,1934
Elijah,M,210,1935
Elijah,M,220,1936
Elijah,M,211,1937
Elijah,M,195,1938
Elijah,M,237,1939
Elijah,M,201,1940
Elijah,M,239,1941
Elijah,M,245,1942
Elijah,M,220,1943
Elijah,M,227,1944
Elijah,M,236,1945
Elijah,M,222,1946
Elijah,M,297,1947
Elijah,M,244,1948
Elijah,M,267,1949
Elijah,M,282,1950
Elijah,M,223,1951
Elijah,M,263,1952
Elijah,M,248,1953
Elijah,M,254,1954
Elijah,M,235,1955
Elijah,M,197,1956
Elijah,M,219,1957
Elijah,M,208,1958
Elijah,M,185,1959
Elijah,M,180,1960
Elijah,M,194,1961
Elijah,M,179,1962
Elijah,M,149,1963
Elijah,M,161,1964
Elijah,M,122,1965
Elijah,M,140,1966
Elijah,M,134,1967
Elijah,M,122,1968
Elijah,M,144,1969
Elijah,M,184,1970
Elijah,M,196,1971
Elijah,M,209,1972
Elijah,M,212,1973
Elijah,M,288,1974
Elijah,M,263,1975
Elijah,M,301,1976
Elijah,M,503,1977
Elijah,M,547,1978
Elijah,M,697,1979
Elijah,M,754,1980
Elijah,M,750,1981
Elijah,M,740,1982
Elijah,M,670,1983
Elijah,M,630,1984
Elijah,M,681,1985
Elijah,M,718,1986
Elijah,M,746,1987
Elijah,M,886,1988
Elijah,M,992,1989
Elijah,M,1139,1990
Elijah,M,1345,1991
Elijah,M,1522,1992
Elijah,M,1882,1993
Elijah,M,2621,1994
Elijah,M,3977,1995
Elijah,M,4816,1996
Elijah,M,5088,1997
Elijah,M,5662,1998
Elijah,M,6596,1999
Elijah,M,7471,2000
Elijah,M,8339,2001
Elijah,M,10052,2002
Elijah,M,10664,2003
Elijah,M,11712,2004
Elijah,M,11610,2005
Elijah,M,12051,2006
Elijah,M,12413,2007
Elijah,M,13234,2008
Elijah,M,12839,2009
Elijah,M,13911,2010
Elijah,M,13990,2011
Elijah,M,13895,2012
Elijah,M,13812,2013
Elijah,M,13865,2014
Elijah,M,13698,2015
Elijah,M,13956,2016
Elijah,M,13420,2017
Elijah,M,12997,2018
Elijah,M,13393,2019
Elijah,M,13172,2020
Elijah,M,12774,2021
Elijah,M,11979,2022
