Name,Gender,Count,Year
Emma,F,2003,1880
Emma,F,2034,1881
Emma,F,2303,1882
Emma,F,2367,1883
Emma,F,2587,1884
Emma,F,2728,1885
Emma,F,2764,1886
Emma,F,2647,1887
Emma,F,3087,1888
Emma,F,2884,1889
Emma,F,2980,1890
Emma,F,2884,1891
Emma,F,3128,1892
Emma,F,2968,1893
Emma,F,2937,1894
Emma,F,2952,1895
Emma,F,2872,1896
Emma,F,2698,1897
Emma,F,2788,1898
Emma,F,2445,1899
Emma,F,3095,1900
Emma,F,2374,1901
Emma,F,2514,1902
Emma,F,2308,1903
Emma,F,2312,1904
Emma,F,2298,1905
Emma,F,2224,1906
Emma,F,2356,1907
Emma,F,2357,1908
Emma,F,2338,1909
Emma,F,2607,1910
Emma,F,2616,1911
Emma,F,3357,1912
Emma,F,3474,1913
Emma,F,3972,1914
Emma,F,5044,1915
Emma,F,5217,1916
Emma,F,5121,1917
Emma,F,5324,1918
Emma,F,5087,1919
Emma,F,5238,1920
Emma,F,5072,1921
Emma,F,5013,1922
Emma,F,4977,1923
Emma,F,4897,1924
Emma,F,4714,1925
Emma,F,4481,1926
Emma,F,4326,1927
Emma,F,4017,1928
Emma,F,3803,1929
Emma,F,3555,1930
Emma,F,3308,1931
Emma,F,3329,1932
Emma,F,3151,1933
Emma,F,2940,1934
Emma,F,2802,1935
Emma,F,2831,1936
Emma,F,2750,1937
Emma,F,2670,1938
Emma,F,2684,1939
Emma,F,2607,1940
Emma,F,2546,1941
Emma,F,2605,1942
Emma,F,2423,1943
Emma,F,2246,1944
Emma,F,2054,1945
Emma,F,2068,1946
Emma,F,2142,1947
Emma,F,2099,1948
Emma,F,1998,1949
Emma,F,1896,1950
Emma,F,1730,1951
Emma,F,1711,1952
Emma,F,1589,1953
Emma,F,1528,1954
Emma,F,1461,1955
Emma,F,1339,1956
Emma,F,1218,1957
Emma,F,1083,1958
Emma,F,1058,1959
Emma,F,979,1960
Emma,F,889,1961
Emma,F,798,1962
Emma,F,723,1963
Emma,F,770,1964
Emma,F,639,1965
Emma,F,619,1966
Emma,F,564,1967
Emma,F,492,1968
Emma,F,515,1969
Emma,F,528,1970
Emma,F,474,1971
Emma,F,453,1972
Emma,F,419,1973
Emma,F,492,1974
Emma,F,477,1975
Emma,F,414,1976
Emma,F,478,1977
Emma,F,445,1978
Emma,F,488,1979
Emma,F,531,1980
Emma,F,534,1981
Emma,F,561,1982
Emma,F,553,1983
Emma,F,678,1984
Emma,F,946,1985
Emma,F,1258,1986
Emma,F,1587,1987
Emma,F,1793,1988
Emma,F,1938,1989
Emma,F,2420,1990
Emma,F,2595,1991
Emma,F,3212,1992
Emma,F,4108,1993
Emma,F,4765,1994
Emma,F,5050,1995
Emma,F,6146,1996
Emma,F,7749,1997
Emma,F,10448,1998
Emma,F,11746,1999
Emma,F,12559,2000
Emma,F,13325,2001
Emma,F,16554,2002
Emma,F,22714,2003
Emma,F,21617,2004
Emma,F,20353,2005
Emma,F,19126,2006
Emma,F,18381,2007
Emma,F,18823,2008
Emma,F,17908,2009
Emma,F,17357,2010
Emma,F,18814,2011
Emma,F,20964,2012
Emma,F,20958,2013
Emma,F,20958,2014
Emma,F,20478,2015
Emma,F,19536,2016
Emma,F,19857,2017
Emma,F,18801,2018
Emma,F,17194,2019
Emma,F,15680,2020
Emma,F,15510,2021
Emma,F,14435,2022
