State,Gender,Year,Name,Count
AK,M,1994,Liam,5
AK,M,1995,Liam,6
AK,M,1996,Liam,11
AK,M,1997,Liam,12
AK,M,1998,Liam,9
AK,M,1999,Liam,10
AK,M,2000,Liam,17
AK,M,2001,Liam,13
AK,M,2002,Liam,15
AK,M,2003,Liam,17
AK,M,2004,Liam,12
AK,M,2005,Liam,22
AK,M,2006,Liam,17
AK,M,2007,Liam,21
AK,M,2008,Liam,26
AK,M,2009,Liam,38
AK,M,2010,Liam,40
AK,M,2011,Liam,48
AK,M,2012,Liam,47
AK,M,2013,Liam,64
AK,M,2014,Liam,66
AK,M,2015,Liam,54
AK,M,2016,Liam,47
AK,M,2017,Liam,46
AK,M,2018,Liam,42
AK,M,2019,Liam,53
AK,M,2020,Liam,44
AK,M,2021,Liam,36
AK,M,2022,Liam,39
AL,M,1997,Liam,5
AL,M,1999,Liam,7
AL,M,2000,Liam,5
AL,M,2001,Liam,14
AL,M,2002,Liam,15
AL,M,2003,Liam,12
AL,M,2004,Liam,11
AL,M,2005,Liam,10
AL,M,2006,Liam,22
AL,M,2007,Liam,22
AL,M,2008,Liam,27
AL,M,2009,Liam,47
AL,M,2010,Liam,80
AL,M,2011,Liam,114
AL,M,2012,Liam,143
AL,M,2013,Liam,165
AL,M,2014,Liam,183
AL,M,2015,Liam,153
AL,M,2016,Liam,195
AL,M,2017,Liam,214
AL,M,2018,Liam,217
AL,M,2019,Liam,215
AL,M,2020,Liam,207
AL,M,2021,Liam,226
AL,M,2022,Liam,227
AR,M,1999,Liam,5
AR,M,2000,Liam,8
AR,M,2001,Liam,8
AR,M,2002,Liam,5
AR,M,2003,Liam,10
AR,M,2004,Liam,9
AR,M,2005,Liam,10
AR,M,2006,Liam,15
AR,M,2007,Liam,17
AR,M,2008,Liam,28
AR,M,2009,Liam,33
AR,M,2010,Liam,55
AR,M,2011,Liam,92
AR,M,2012,Liam,109
AR,M,2013,Liam,123
AR,M,2014,Liam,137
AR,M,2015,Liam,129
AR,M,2016,Liam,144
AR,M,2017,Liam,135
AR,M,2018,Liam,137
AR,M,2019,Liam,146
AR,M,2020,Liam,158
AR,M,2021,Liam,161
AR,M,2022,Liam,136
AZ,M,1991,Liam,5
AZ,M,1993,Liam,7
AZ,M,1994,Liam,10
AZ,M,1995,Liam,16
AZ,M,1996,Liam,19
AZ,M,1997,Liam,31
AZ,M,1998,Liam,37
AZ,M,1999,Liam,41
AZ,M,2000,Liam,29
AZ,M,2001,Liam,58
AZ,M,2002,Liam,62
AZ,M,2003,Liam,65
AZ,M,2004,Liam,82
AZ,M,2005,Liam,82
AZ,M,2006,Liam,104
AZ,M,2007,Liam,91
AZ,M,2008,Liam,105
AZ,M,2009,Liam,174
AZ,M,2010,Liam,229
AZ,M,2011,Liam,289
AZ,M,2012,Liam,385
AZ,M,2013,Liam,388
AZ,M,2014,Liam,439
AZ,M,2015,Liam,415
AZ,M,2016,Liam,426
AZ,M,2017,Liam,410
AZ,M,2018,Liam,463
AZ,M,2019,Liam,451
AZ,M,2020,Liam,454
AZ,M,2021,Liam,434
AZ,M,2022,Liam,460
CA,M,1959,Liam,6
CA,M,1961,Liam,5
CA,M,1963,Liam,10
CA,M,1965,Liam,5
CA,M,1966,Liam,6
CA,M,1967,Liam,5
CA,M,1968,Liam,6
CA,M,1969,Liam,8
CA,M,1971,Liam,10
CA,M,1972,Liam,10
CA,M,1973,Liam,9
CA,M,1975,Liam,11
CA,M,1976,Liam,7
CA,M,1977,Liam,15
CA,M,1978,Liam,9
CA,M,1979,Liam,16
CA,M,1980,Liam,11
CA,M,1981,Liam,7
CA,M,1982,Liam,19
CA,M,1983,Liam,20
CA,M,1984,Liam,15
CA,M,1985,Liam,16
CA,M,1986,Liam,10
CA,M,1987,Liam,11
CA,M,1988,Liam,18
CA,M,1989,Liam,20
CA,M,1990,Liam,46
CA,M,1991,Liam,32
CA,M,1992,Liam,34
CA,M,1993,Liam,40
CA,M,1994,Liam,84
CA,M,1995,Liam,144
CA,M,1996,Liam,192
CA,M,1997,Liam,221
CA,M,1998,Liam,238
CA,M,1999,Liam,281
CA,M,2000,Liam,276
CA,M,2001,Liam,336
CA,M,2002,Liam,370
CA,M,2003,Liam,398
CA,M,2004,Liam,372
CA,M,2005,Liam,416
CA,M,2006,Liam,465
CA,M,2007,Liam,514
CA,M,2008,Liam,572
CA,M,2009,Liam,836
CA,M,2010,Liam,1021
CA,M,2011,Liam,1237
CA,M,2012,Liam,1614
CA,M,2013,Liam,1700
CA,M,2014,Liam,1869
CA,M,2015,Liam,2030
CA,M,2016,Liam,2049
CA,M,2017,Liam,2190
CA,M,2018,Liam,2415
