Name,Gender,Count,Year
Noah,M,103,1880
Noah,M,81,1881
Noah,M,108,1882
Noah,M,81,1883
Noah,M,94,1884
Noah,M,76,1885
Noah,M,90,1886
Noah,M,94,1887
Noah,M,83,1888
Noah,M,85,1889
Noah,M,74,1890
Noah,M,76,1891
Noah,M,79,1892
Noah,M,69,1893
Noah,M,74,1894
Noah,M,72,1895
Noah,M,69,1896
Noah,M,58,1897
Noah,M,68,1898
Noah,M,47,1899
Noah,M,92,1900
Noah,M,56,1901
Noah,M,69,1902
Noah,M,48,1903
Noah,M,46,1904
Noah,M,60,1905
Noah,M,60,1906
Noah,M,61,1907
Noah,M,68,1908
Noah,M,62,1909
Noah,M,87,1910
Noah,M,82,1911
Noah,M,116,1912
Noah,M,141,1913
Noah,M,171,1914
Noah,M,189,1915
Noah,M,229,1916
Noah,M,219,1917
Noah,M,247,1918
Noah,M,253,1919
Noah,M,242,1920
Noah,M,247,1921
Noah,M,236,1922
Noah,M,259,1923
Noah,M,239,1924
Noah,M,219,1925
Noah,M,235,1926
Noah,M,236,1927
Noah,M,174,1928
Noah,M,197,1929
Noah,M,191,1930
Noah,M,180,1931
Noah,M,182,1932
Noah,M,173,1933
Noah,M,148,1934
Noah,M,175,1935
Noah,M,147,1936
Noah,M,143,1937
Noah,M,145,1938
Noah,M,122,1939
Noah,M,150,1940
Noah,M,161,1941
Noah,M,182,1942
Noah,M,155,1943
Noah,M,157,1944
Noah,M,133,1945
Noah,M,130,1946
Noah,M,156,1947
Noah,M,150,1948
Noah,M,148,1949
Noah,M,153,1950
Noah,M,154,1951
Noah,M,143,1952
Noah,M,161,1953
Noah,M,131,1954
Noah,M,133,1955
Noah,M,138,1956
Noah,M,153,1957
Noah,M,137,1958
Noah,M,153,1959
Noah,M,139,1960
Noah,M,126,1961
Noah,M,141,1962
Noah,M,124,1963
Noah,M,138,1964
Noah,M,120,1965
Noah,M,157,1966
Noah,M,154,1967
Noah,M,175,1968
Noah,M,246,1969
Noah,M,340,1970
Noah,M,478,1971
Noah,M,422,1972
Noah,M,492,1973
Noah,M,547,1974
Noah,M,580,1975
Noah,M,545,1976
Noah,M,683,1977
Noah,M,687,1978
Noah,M,914,1979
Noah,M,929,1980
Noah,M,1400,1981
Noah,M,1816,1982
Noah,M,1543,1983
Noah,M,1246,1984
Noah,M,1108,1985
Noah,M,1038,1986
Noah,M,996,1987
Noah,M,1065,1988
Noah,M,1242,1989
Noah,M,1308,1990
Noah,M,1315,1991
Noah,M,1423,1992
Noah,M,1503,1993
Noah,M,2079,1994
Noah,M,3823,1995
Noah,M,7182,1996
Noah,M,9279,1997
Noah,M,13414,1998
Noah,M,14930,1999
Noah,M,14280,2000
Noah,M,13492,2001
Noah,M,12072,2002
Noah,M,11838,2003
Noah,M,11908,2004
Noah,M,13901,2005
Noah,M,16340,2006
Noah,M,16600,2007
Noah,M,15799,2008
Noah,M,17259,2009
Noah,M,16467,2010
Noah,M,16876,2011
Noah,M,17366,2012
Noah,M,18276,2013
Noah,M,19329,2014
Noah,M,19666,2015
Noah,M,19171,2016
Noah,M,18473,2017
Noah,M,18403,2018
Noah,M,19145,2019
Noah,M,18407,2020
Noah,M,18849,2021
Noah,M,18621,2022
