Name,Gender,Count,Year
Oliver,M,234,1880
Oliver,M,238,1881
Oliver,M,244,1882
Oliver,M,219,1883
Oliver,M,245,1884
Oliver,M,258,1885
Oliver,M,230,1886
Oliver,M,203,1887
Oliver,M,206,1888
Oliver,M,210,1889
Oliver,M,218,1890
Oliver,M,212,1891
Oliver,M,238,1892
Oliver,M,214,1893
Oliver,M,222,1894
Oliver,M,216,1895
Oliver,M,194,1896
Oliver,M,174,1897
Oliver,M,186,1898
Oliver,M,161,1899
Oliver,M,256,1900
Oliver,M,187,1901
Oliver,M,181,1902
Oliver,M,210,1903
Oliver,M,200,1904
Oliver,M,211,1905
Oliver,M,183,1906
Oliver,M,207,1907
Oliver,M,207,1908
Oliver,M,246,1909
Oliver,M,307,1910
Oliver,M,333,1911
Oliver,M,646,1912
Oliver,M,644,1913
Oliver,M,861,1914
Oliver,M,1131,1915
Oliver,M,1103,1916
Oliver,M,1175,1917
Oliver,M,1248,1918
Oliver,M,1209,1919
Oliver,M,1164,1920
Oliver,M,1194,1921
Oliver,M,1214,1922
Oliver,M,1221,1923
Oliver,M,1172,1924
Oliver,M,1049,1925
Oliver,M,1065,1926
Oliver,M,1002,1927
Oliver,M,934,1928
Oliver,M,884,1929
Oliver,M,851,1930
Oliver,M,778,1931
Oliver,M,741,1932
Oliver,M,595,1933
Oliver,M,732,1934
Oliver,M,646,1935
Oliver,M,591,1936
Oliver,M,609,1937
Oliver,M,568,1938
Oliver,M,598,1939
Oliver,M,582,1940
Oliver,M,600,1941
Oliver,M,613,1942
Oliver,M,668,1943
Oliver,M,565,1944
Oliver,M,558,1945
Oliver,M,619,1946
Oliver,M,624,1947
Oliver,M,631,1948
Oliver,M,597,1949
Oliver,M,556,1950
Oliver,M,552,1951
Oliver,M,555,1952
Oliver,M,521,1953
Oliver,M,535,1954
Oliver,M,508,1955
Oliver,M,482,1956
Oliver,M,454,1957
Oliver,M,452,1958
Oliver,M,371,1959
Oliver,M,371,1960
Oliver,M,347,1961
Oliver,M,313,1962
Oliver,M,359,1963
Oliver,M,368,1964
Oliver,M,302,1965
Oliver,M,339,1966
Oliver,M,290,1967
Oliver,M,324,1968
Oliver,M,327,1969
Oliver,M,366,1970
Oliver,M,416,1971
Oliver,M,368,1972
Oliver,M,374,1973
Oliver,M,347,1974
Oliver,M,355,1975
Oliver,M,337,1976
Oliver,M,338,1977
Oliver,M,422,1978
Oliver,M,407,1979
Oliver,M,393,1980
Oliver,M,403,1981
Oliver,M,455,1982
Oliver,M,434,1983
Oliver,M,397,1984
Oliver,M,371,1985
Oliver,M,338,1986
Oliver,M,461,1987
Oliver,M,440,1988
Oliver,M,460,1989
Oliver,M,625,1990
Oliver,M,582,1991
Oliver,M,664,1992
Oliver,M,665,1993
Oliver,M,643,1994
Oliver,M,597,1995
Oliver,M,607,1996
Oliver,M,669,1997
Oliver,M,734,1998
Oliver,M,782,1999
Oliver,M,978,2000
Oliver,M,978,2001
Oliver,M,1166,2002
Oliver,M,1374,2003
Oliver,M,1491,2004
Oliver,M,1793,2005
Oliver,M,2351,2006
Oliver,M,2910,2007
Oliver,M,3602,2008
Oliver,M,4287,2009
Oliver,M,4664,2010
Oliver,M,5412,2011
Oliver,M,5921,2012
Oliver,M,7275,2013
Oliver,M,9445,2014
Oliver,M,11663,2015
Oliver,M,13058,2016
Oliver,M,13220,2017
Oliver,M,13487,2018
Oliver,M,13953,2019
Oliver,M,14261,2020
Oliver,M,14683,2021
Oliver,M,15076,2022
