Name,Gender,Count,Year
Olivia,F,44,1880
Olivia,F,51,1881
Olivia,F,52,1882
Olivia,F,46,1883
Olivia,F,54,1884
Olivia,F,59,1885
Olivia,F,72,1886
Olivia,F,69,1887
Olivia,F,71,1888
Olivia,F,100,1889
Olivia,F,85,1890
Olivia,F,66,1891
Olivia,F,101,1892
Olivia,F,107,1893
Olivia,F,127,1894
Olivia,F,117,1895
Olivia,F,114,1896
Olivia,F,131,1897
Olivia,F,141,1898
Olivia,F,110,1899
Olivia,F,167,1900
Olivia,F,126,1901
Olivia,F,130,1902
Olivia,F,130,1903
Olivia,F,157,1904
Olivia,F,153,1905
Olivia,F,181,1906
Olivia,F,171,1907
Olivia,F,181,1908
Olivia,F,179,1909
Olivia,F,211,1910
Olivia,F,191,1911
Olivia,F,285,1912
Olivia,F,287,1913
Olivia,F,340,1914
Olivia,F,372,1915
Olivia,F,446,1916
Olivia,F,476,1917
Olivia,F,466,1918
Olivia,F,471,1919
Olivia,F,523,1920
Olivia,F,502,1921
Olivia,F,536,1922
Olivia,F,528,1923
Olivia,F,501,1924
Olivia,F,527,1925
Olivia,F,466,1926
Olivia,F,499,1927
Olivia,F,442,1928
Olivia,F,458,1929
Olivia,F,402,1930
Olivia,F,380,1931
Olivia,F,399,1932
Olivia,F,370,1933
Olivia,F,359,1934
Olivia,F,365,1935
Olivia,F,381,1936
Olivia,F,393,1937
Olivia,F,445,1938
Olivia,F,428,1939
Olivia,F,540,1940
Olivia,F,587,1941
Olivia,F,742,1942
Olivia,F,694,1943
Olivia,F,730,1944
Olivia,F,621,1945
Olivia,F,728,1946
Olivia,F,857,1947
Olivia,F,848,1948
Olivia,F,854,1949
Olivia,F,769,1950
Olivia,F,665,1951
Olivia,F,693,1952
Olivia,F,620,1953
Olivia,F,645,1954
Olivia,F,606,1955
Olivia,F,536,1956
Olivia,F,521,1957
Olivia,F,558,1958
Olivia,F,490,1959
Olivia,F,483,1960
Olivia,F,437,1961
Olivia,F,429,1962
Olivia,F,448,1963
Olivia,F,425,1964
Olivia,F,442,1965
Olivia,F,334,1966
Olivia,F,347,1967
Olivia,F,324,1968
Olivia,F,349,1969
Olivia,F,350,1970
Olivia,F,335,1971
Olivia,F,345,1972
Olivia,F,362,1973
Olivia,F,507,1974
Olivia,F,1049,1975
Olivia,F,1233,1976
Olivia,F,1105,1977
Olivia,F,1312,1978
Olivia,F,1255,1979
Olivia,F,1118,1980
Olivia,F,1027,1981
Olivia,F,1126,1982
Olivia,F,1090,1983
Olivia,F,1166,1984
Olivia,F,1025,1985
Olivia,F,1233,1986
Olivia,F,1699,1987
Olivia,F,2141,1988
Olivia,F,2439,1989
Olivia,F,4627,1990
Olivia,F,5601,1991
Olivia,F,5810,1992
Olivia,F,6342,1993
Olivia,F,6434,1994
Olivia,F,7625,1995
Olivia,F,8124,1996
Olivia,F,9477,1997
Olivia,F,10610,1998
Olivia,F,11256,1999
Olivia,F,12854,2000
Olivia,F,13977,2001
Olivia,F,14630,2002
Olivia,F,16152,2003
Olivia,F,16107,2004
Olivia,F,15699,2005
Olivia,F,15505,2006
Olivia,F,16587,2007
Olivia,F,17086,2008
Olivia,F,17441,2009
Olivia,F,17033,2010
Olivia,F,17331,2011
Olivia,F,17328,2012
Olivia,F,18446,2013
Olivia,F,19829,2014
Olivia,F,19717,2015
Olivia,F,19397,2016
Olivia,F,18763,2017
Olivia,F,18039,2018
Olivia,F,18549,2019
Olivia,F,17664,2020
Olivia,F,17798,2021
Olivia,F,16573,2022
