Name,Gender,Count,Year
Sophia,F,138,1880
Sophia,F,122,1881
Sophia,F,179,1882
Sophia,F,159,1883
Sophia,F,170,1884
Sophia,F,185,1885
Sophia,F,218,1886
Sophia,F,192,1887
Sophia,F,251,1888
Sophia,F,251,1889
Sophia,F,245,1890
Sophia,F,220,1891
Sophia,F,241,1892
Sophia,F,247,1893
Sophia,F,276,1894
Sophia,F,259,1895
Sophia,F,278,1896
Sophia,F,278,1897
Sophia,F,240,1898
Sophia,F,238,1899
Sophia,F,259,1900
Sophia,F,221,1901
Sophia,F,256,1902
Sophia,F,213,1903
Sophia,F,230,1904
Sophia,F,237,1905
Sophia,F,247,1906
Sophia,F,265,1907
Sophia,F,276,1908
Sophia,F,256,1909
Sophia,F,271,1910
Sophia,F,272,1911
Sophia,F,397,1912
Sophia,F,429,1913
Sophia,F,548,1914
Sophia,F,692,1915
Sophia,F,697,1916
Sophia,F,698,1917
Sophia,F,629,1918
Sophia,F,604,1919
Sophia,F,545,1920
Sophia,F,489,1921
Sophia,F,390,1922
Sophia,F,369,1923
Sophia,F,357,1924
Sophia,F,289,1925
Sophia,F,234,1926
Sophia,F,240,1927
Sophia,F,195,1928
Sophia,F,169,1929
Sophia,F,152,1930
Sophia,F,133,1931
Sophia,F,132,1932
Sophia,F,103,1933
Sophia,F,107,1934
Sophia,F,101,1935
Sophia,F,98,1936
Sophia,F,104,1937
Sophia,F,88,1938
Sophia,F,99,1939
Sophia,F,105,1940
Sophia,F,107,1941
Sophia,F,81,1942
Sophia,F,104,1943
Sophia,F,104,1944
Sophia,F,103,1945
Sophia,F,107,1946
Sophia,F,108,1947
Sophia,F,112,1948
Sophia,F,123,1949
Sophia,F,109,1950
Sophia,F,153,1951
Sophia,F,110,1952
Sophia,F,129,1953
Sophia,F,113,1954
Sophia,F,152,1955
Sophia,F,121,1956
Sophia,F,189,1957
Sophia,F,226,1958
Sophia,F,277,1959
Sophia,F,262,1960
Sophia,F,324,1961
Sophia,F,486,1962
Sophia,F,524,1963
Sophia,F,471,1964
Sophia,F,509,1965
Sophia,F,589,1966
Sophia,F,602,1967
Sophia,F,548,1968
Sophia,F,593,1969
Sophia,F,580,1970
Sophia,F,591,1971
Sophia,F,486,1972
Sophia,F,455,1973
Sophia,F,385,1974
Sophia,F,380,1975
Sophia,F,366,1976
Sophia,F,433,1977
Sophia,F,408,1978
Sophia,F,491,1979
Sophia,F,641,1980
Sophia,F,1235,1981
Sophia,F,1161,1982
Sophia,F,1196,1983
Sophia,F,1082,1984
Sophia,F,1100,1985
Sophia,F,1059,1986
Sophia,F,1125,1987
Sophia,F,1165,1988
Sophia,F,1059,1989
Sophia,F,1124,1990
Sophia,F,1263,1991
Sophia,F,1355,1992
Sophia,F,1498,1993
Sophia,F,1613,1994
Sophia,F,1764,1995
Sophia,F,2513,1996
Sophia,F,3640,1997
Sophia,F,4307,1998
Sophia,F,5423,1999
Sophia,F,6564,2000
Sophia,F,7161,2001
Sophia,F,8665,2002
Sophia,F,9686,2003
Sophia,F,10919,2004
Sophia,F,12676,2005
Sophia,F,13502,2006
Sophia,F,17027,2007
Sophia,F,16088,2008
Sophia,F,16948,2009
Sophia,F,20652,2010
Sophia,F,21856,2011
Sophia,F,22325,2012
Sophia,F,21244,2013
Sophia,F,18636,2014
Sophia,F,17445,2015
Sophia,F,16171,2016
Sophia,F,14925,2017
Sophia,F,13991,2018
Sophia,F,13787,2019
Sophia,F,13070,2020
Sophia,F,12547,2021
Sophia,F,12310,2022
