Name,Gender,Year,Count
John,M,1880,9655
William,M,1880,9532
Mary,F,1880,7065
James,M,1880,5927
Charles,M,1880,5348
George,M,1880,5126
Frank,M,1880,3242
Joseph,M,1880,2632
Anna,F,1880,2604
Thomas,M,1880,2534
John,M,1881,8769
William,M,1881,8524
Mary,F,1881,6919
James,M,1881,5441
George,M,1881,4664
Charles,M,1881,4636
Frank,M,1881,2834
Anna,F,1881,2698
Joseph,M,1881,2456
Henry,M,1881,2339
John,M,1882,9557
William,M,1882,9298
Mary,F,1882,8148
James,M,1882,5892
George,M,1882,5193
Charles,M,1882,5091
Frank,M,1882,3176
Anna,F,1882,3143
Joseph,M,1882,2670
Thomas,M,1882,2610
John,M,1883,8894
William,M,1883,8387
Mary,F,1883,8012
James,M,1883,5223
Charles,M,1883,4826
George,M,1883,4736
Anna,F,1883,3306
Frank,M,1883,2986
Joseph,M,1883,2515
Henry,M,1883,2383
John,M,1884,9388
Mary,F,1884,9217
William,M,1884,8897
James,M,1884,5693
George,M,1884,4961
Charles,M,1884,4802
Anna,F,1884,3860
Frank,M,1884,3218
Joseph,M,1884,2707
Emma,F,1884,2587
Mary,F,1885,9128
John,M,1885,8756
William,M,1885,8044
James,M,1885,5175
George,M,1885,4674
Charles,M,1885,4599
Anna,F,1885,3994
Frank,M,1885,3067
Emma,F,1885,2728
Elizabeth,F,1885,2582
Mary,F,1886,9889
John,M,1886,9026
William,M,1886,8252
James,M,1886,5355
George,M,1886,4671
Charles,M,1886,4533
Anna,F,1886,4283
Frank,M,1886,3127
Emma,F,1886,2764
Elizabeth,F,1886,2680
Mary,F,1887,9888
John,M,1887,8110
William,M,1887,7470
James,M,1887,4768
George,M,1887,4284
Anna,F,1887,4227
Charles,M,1887,4031
Frank,M,1887,2883
Elizabeth,F,1887,2681
Emma,F,1887,2647
Mary,F,1888,11754
John,M,1888,9247
William,M,1888,8705
James,M,1888,5562
Anna,F,1888,4982
George,M,1888,4912
Charles,M,1888,4591
Frank,M,1888,3459
Elizabeth,F,1888,3224
Emma,F,1888,3087
Mary,F,1889,11648
John,M,1889,8548
William,M,1889,7772
Anna,F,1889,5062
James,M,1889,5020
George,M,1889,4430
Charles,M,1889,4199
Elizabeth,F,1889,3058
Frank,M,1889,2975
Margaret,F,1889,2917
Mary,F,1890,12078
John,M,1890,8502
William,M,1890,7494
Anna,F,1890,5233
James,M,1890,5097
George,M,1890,4458
Charles,M,1890,4061
Elizabeth,F,1890,3112
Margaret,F,1890,3100
Frank,M,1890,3078
Mary,F,1891,11703
John,M,1891,7680
William,M,1891,6763
Anna,F,1891,5099
James,M,1891,4516
George,M,1891,3931
Charles,M,1891,3640
Margaret,F,1891,3065
Elizabeth,F,1891,3059
Emma,F,1891,2884
Mary,F,1892,13172
John,M,1892,9039
William,M,1892,7782
Anna,F,1892,5542
James,M,1892,5398
George,M,1892,4760
Charles,M,1892,4319
Elizabeth,F,1892,3461
Margaret,F,1892,3435
Ruth,F,1892,3290
Mary,F,1893,12784
John,M,1893,8049
William,M,1893,7223
Anna,F,1893,5695
James,M,1893,5030
George,M,1893,4320
Charles,M,1893,3723
Ruth,F,1893,3658
Margaret,F,1893,3565
Elizabeth,F,1893,3360
Mary,F,1894,13151
John,M,1894,8237
William,M,1894,7274
Anna,F,1894,5565
James,M,1894,5110
George,M,1894,4365
Charles,M,1894,3788
Margaret,F,1894,3700
Helen,F,1894,3676
Elizabeth,F,1894,3425
Mary,F,1895,13447
John,M,1895,8320
William,M,1895,7277
Anna,F,1895,5950
James,M,1895,5335
George,M,1895,4289
Helen,F,1895,4023
Margaret,F,1895,3931
Charles,M,1895,3633
Elizabeth,F,1895,3603
Mary,F,1896,13811
John,M,1896,8138
William,M,1896,7747
Anna,F,1896,5860
James,M,1896,5206
Helen,F,1896,4392
George,M,1896,4286
Margaret,F,1896,4050
Ruth,F,1896,3905
Charles,M,1896,3639
Mary,F,1897,13413
John,M,1897,7550
William,M,1897,7198
Anna,F,1897,5429
James,M,1897,5113
Helen,F,1897,4519
Margaret,F,1897,4146
George,M,1897,4078
Ruth,F,1897,3878
